gene_symbol,reference_gene_id
Prdm9,ENSRNOG00000021493
Preb,ENSRNOG00000007141
Prop1,ENSRNOG00000003671
Prox1,ENSRNOG00000003694
Prox2,ENSRNOG00000005054
Prrx1,ENSRNOG00000003720
Prrx2,ENSRNOG00000058329
Ptf1a,ENSRNOG00000016902
Pura,ENSRNOG00000062721
Purb,ENSRNOG00000069265
Purg,ENSRNOG00000015426
Rag1,ENSRNOG00000004630
Rara,ENSRNOG00000009972
Rarb,ENSRNOG00000024061
Rarg,ENSRNOG00000012499
Rax,ENSRNOG00000016944
Rbak,ENSRNOG00000001099
